"","cue","response","revision","kuperman_id","subtlex_id","study_id"
"123","alligator","scaley","scaly",39747,28107,1
"124","alligator","scaly",NA,39747,28107,1
"125","alligator","scared",NA,39788,613,1
"126","alligator","scary",NA,39803,1966,1
"127","alligator","school",NA,39888,454,1
"128","alligator","see",NA,40357,51,1
"129","alligator","see ya later","see ya later",NA,NA,1
"130","alligator","see you later","see you later",NA,NA,1
"131","alligator","sharp",NA,40835,1982,1
"132","alligator","sharp teeth","sharp teeth",NA,NA,1
"133","alligator","shirt",NA,41013,1359,1
"134","alligator","shoes",NA,41060,962,1
"135","alligator","short",NA,41100,711,1
"136","alligator","simple",NA,41464,705,1
"137","alligator","skin",NA,41664,1273,1
"138","alligator","slimy",NA,41895,8238,1
"139","alligator","slow",NA,41982,828,1
"140","alligator","small",NA,42045,574,1
"141","alligator","snake",NA,42170,3031,1
"142","alligator","snap",NA,42180,2564,1
"143","alligator","sneaky",NA,42220,6505,1
"144","alligator","snout",NA,42311,17437,1
"145","alligator","soup",NA,42673,2284,1
"146","alligator","south",NA,42694,1150,1
"147","alligator","state",NA,43566,749,1
"148","alligator","stew",NA,43764,5906,1
"149","alligator","strong",NA,44218,744,1
"150","alligator","swamp",NA,45056,6073,1
"151","alligator","swap",NA,45067,7403,1
"152","alligator","swim",NA,45166,2109,1
"153","alligator","swimming",NA,45169,2621,1
"154","alligator","tail",NA,45419,2153,1
"155","alligator","tails",NA,45442,6011,1
"156","alligator","tasty",NA,45639,5204,1
"157","alligator","tater",NA,NA,24028,1
"158","alligator","teeth",NA,45795,1198,1
"159","alligator","the beach","beach",3581,1455,1
"160","alligator","the chimes","the chimes",NA,NA,1
"161","alligator","tiger",NA,46461,3479,1
"162","alligator","tooth",NA,46768,3739,1
"163","alligator","tough",NA,46909,731,1
"164","alligator","toy",NA,46977,2886,1
"165","alligator","truck",NA,47569,1251,1
"166","alligator","turtle",NA,47759,5167,1
"167","alligator","ugly",NA,47909,1336,1
"168","alligator","ugly eyes","ugly eyes",NA,NA,1
"169","alligator","vex from sonic the hedgehog","vex from sonic the hedgehog",NA,NA,1
"170","alligator","water",NA,50373,498,1
"171","alligator","waterboys","waterboys",NA,NA,1
"172","alligator","white",NA,50782,604,1
"173","alligator","wild",NA,50914,1098,1
"174","alligator","wildlife",NA,50930,12970,1
"175","alligator","yummy",NA,51626,7123,1
"176","alligator","zigzag",NA,51662,26763,1
"177","alligator","zoo",NA,51700,3871,1
"178","back","a human","human",22346,692,1
"179","back","ache",NA,358,8825,1
"180","back","aching",NA,NA,9709,1
"181","back","acne",NA,389,17229,1
"182","back","after",NA,826,156,1
"183","back","again",NA,852,135,1
"184","back","agree",NA,918,866,1
"185","back","anatomy",NA,1483,8288,1
"186","back","arch",NA,2046,8648,1
"187","back","arm",NA,2144,1003,1
"188","back","arms",NA,2173,1030,1
"189","back","around",NA,2180,162,1
"190","back","away",NA,2858,160,1
"191","back","b",NA,NA,1037,1
"192","back","back",NA,2933,69,1
"193","back","back aches","back aches",NA,NA,1
"194","back","back handspring","back handspring",NA,NA,1
"195","back","backbone",NA,2944,11084,1
"196","back","background",NA,2963,2522,1
"197","back","backpack",NA,2978,8032,1
"198","back","backside",NA,2996,12334,1
"199","back","backward",NA,3021,8110,1
"200","back","backwards",NA,3023,3052,1
"201","back","backyard",NA,3028,4856,1
"202","back","bacne","bacne",NA,NA,1
"203","back","bag",NA,3057,792,1
"204","back","bare",NA,3324,4135,1
"205","back","before",NA,3757,129,1
"206","back","behind",NA,3810,430,1
"207","back","bend",NA,3916,2883,1
"208","back","bent",NA,3943,4639,1
"209","back","biceps",NA,4080,17002,1
"210","back","big",NA,4109,187,1
"211","back","black",NA,4353,640,1
"212","back","blindspot","blindspot",NA,NA,1
"213","back","board",NA,4748,1162,1
"214","back","body",NA,4813,516,1
"215","back","body part","body part",NA,NA,1
"216","back","bone",NA,4914,2080,1
"217","back","book bag","backpack",2978,8032,1
"218","back","booksack","backpack",2978,8032,1
"219","back","bottom",NA,5130,1097,1
"220","back","brace",NA,5237,5843,1
"221","back","break",NA,5370,397,1
"222","back","broke",NA,5577,646,1
"223","back","broken",NA,5578,819,1
"224","back","brown",NA,5635,1457,1
"225","back","building",NA,5787,818,1
"226","back","bumps",NA,5885,7597,1
"227","back","butt",NA,6085,1452,1
"228","back","c",NA,NA,986,1
"229","back","cant see","cant see",NA,NA,1
"230","back","car",NA,6602,381,1
"231","back","carry",NA,6775,883,1
"232","back","caution",NA,7029,5643,1
"233","back","cervical",NA,7213,19283,1
"234","back","chair",NA,7241,1253,1
"235","back","chest",NA,7570,1582,1
"236","back","chiropractor",NA,7680,17792,1
"237","back","classroom",NA,8115,6955,1
"238","back","clean",NA,8138,587,1
"239","back","clothes",NA,8317,721,1
"240","back","coat",NA,8435,1480,1
"241","back","command",NA,8834,1791,1
"242","back","crack",NA,10518,1564,1
"243","back","cracks",NA,10532,5847,1
"244","back","definition",NA,11930,5560,1
"245","back","diffucult","difficult",12845,909,1
"246","back","direction",NA,13022,1860,1
"247","back","doctor",NA,13766,549,1
"248","back","door",NA,13924,367,1
"249","back","dorsal",NA,13971,20376,1
"250","back","down",NA,14037,97,1
"251","back","dumpy",NA,14465,27722,1
"252","back","end",NA,15340,323,1
"253","back","exercise",NA,16278,2609,1
"254","back","face",NA,16699,332,1
"255","back","facing",NA,16725,3280,1
"256","back","fall",NA,16813,610,1
"257","back","far",NA,16894,375,1
"258","back","feel",NA,17115,183,1
"259","back","feet",NA,17122,632,1
"260","back","finish",NA,17467,654,1
"261","back","flat",NA,17730,1978,1
"262","back","flip",NA,17859,3199,1
"263","back","flop",NA,17920,10138,1
"264","back","forgot",NA,18361,636,1
"265","back","forth",NA,18427,2601,1
"266","back","forward",NA,18454,847,1
"267","back","front",NA,18758,448,1
"268","back","fun",NA,18878,444,1
"269","back","girl",NA,19583,276,1
"270","back","give",NA,19598,108,1
"271","back","go",NA,19806,40,1
"272","back","got back","got back",NA,NA,1
"273","back","ground",NA,20406,864,1
"274","back","growth",NA,20456,5369,1
"275","back","gym",NA,20702,3009,1
"276","back","gymnastics",NA,20708,15709,1
"277","back","hair",NA,20778,562,1
"278","back","hairy",NA,20813,5458,1
"279","back","hand",NA,20895,340,1
"280","back","hard",NA,21040,284,1
"281","back","head",NA,21245,268,1
"282","back","hello",NA,21476,253,1
"283","back","help",NA,21484,146,1
"284","back","here",NA,21568,26,1
"285","back","hide",NA,21663,845,1
"286","back","home",NA,21941,172,1
"287","back","house",NA,22241,293,1
"288","back","human",NA,22346,692,1
"289","back","hurt",NA,22469,387,1
"290","back","hurts",NA,22476,1377,1
"291","back","ignore",NA,22792,2264,1
"292","back","in",NA,23195,11,1
"293","back","in the gym","in the gym",NA,NA,1
"294","back","injury",NA,23877,3755,1
"295","back","invisible",NA,24556,3795,1
"296","back","it up terry","it up terry",NA,NA,1
"297","back","itch",NA,24710,7219,1
"298","back","itchy",NA,24715,9433,1
"299","back","k",NA,NA,2465,1
"300","back","knee",NA,25468,2997,1
"301","back","knees",NA,25480,1917,1
"302","back","last",NA,25832,149,1
"303","back","lat",NA,NA,27893,1
"304","back","later",NA,25847,299,1
"305","back","latissimus",NA,NA,53744,1
"306","back","lay",NA,25935,999,1
"307","back","lay down","lay down",NA,NA,1
"308","back","lean",NA,25992,3571,1
"309","back","left",NA,26073,211,1
"310","back","leg",NA,26081,1227,1
"311","back","legs",NA,26130,1052,1
"312","back","line",NA,26441,453,1
"313","back","lines",NA,26453,1402,1
"314","back","long",NA,26790,159,1
"315","back","look",NA,26819,66,1
"316","back","love",NA,26926,177,1
"317","back","lumbar",NA,27021,15922,1
"318","back","massage",NA,27736,4120,1
"319","back","message",NA,28241,815,1
"320","back","middle",NA,28407,688,1
"321","back","mirror",NA,28671,2052,1
"322","back","move",NA,29422,292,1
"323","back","movement",NA,29425,2917,1
"324","back","muscle",NA,29609,3021,1
"325","back","muscles",NA,29613,4560,1
"326","back","neck",NA,29960,993,1
"327","back","open",NA,31149,310,1
"328","back","oppisite","opposite",31200,2577,1
"329","back","opposite",NA,31200,2577,1
"330","back","opposite of front","opposite of front",NA,NA,1
"331","back","other",NA,31418,147,1
"332","back","out",NA,31439,41,1
"333","back","pack",NA,31984,1223,1
"334","back","pain",NA,32047,775,1
"335","back","painful",NA,32049,2604,1
"336","back","paper",NA,32232,761,1
"337","back","park",NA,32384,1036,1
"338","back","past",NA,32523,561,1
"339","back","pat",NA,32553,4110,1
"340","back","pedal",NA,32761,10572,1
"341","back","people",NA,32937,131,1
"342","back","person",NA,33155,435,1
"343","back","point",NA,34152,374,1
"344","back","pops",NA,34375,3977,1
"345","back","posterior",NA,34519,19119,1
"346","back","posture",NA,34563,11064,1
"347","back","previous",NA,35072,3543,1
"348","back","pull ups","pull ups",NA,NA,1
"349","back","rack",NA,36347,4444,1
"350","back","ramp",NA,36516,9501,1
"351","back","rear",NA,36819,3371,1
"352","back","redo",NA,37216,11807,1
"353","back","regress",NA,37461,31050,1
"354","back","rest",NA,38260,385,1
"355","back","restart",NA,38264,21369,1
"356","back","retreat",NA,38430,4706,1
"357","back","return",NA,38467,768,1
"358","back","reverse",NA,38532,3638,1
"359","back","rewind",NA,38606,11811,1
"360","back","ribs",NA,38665,4635,1
"361","back","rocking chair","rocking chair",NA,NA,1
"362","back","roll",NA,38943,1019,1
"363","back","room",NA,38994,271,1
"364","back","row",NA,39117,2032,1
"365","back","rub",NA,39136,2768,1
"366","back","sack",NA,39306,3127,1
"367","back","scapula",NA,39778,30006,1
"368","back","school",NA,39888,454,1
"369","back","scoliosis",NA,39950,33658,1
"370","back","scratch",NA,40046,2348,1
"371","back","scratcher",NA,40048,35239,1
"372","back","sexy",NA,40733,1980,1
"373","back","shirt",NA,41013,1359,1
"374","back","shots",NA,41136,1908,1
"375","back","shoudler","shoulder",41138,1867,1
"376","back","shoulder",NA,41138,1867,1
"377","back","shoulders",NA,41141,3177,1
"378","back","side",NA,41311,434,1
"379","back","side of body without face","side of body without face",NA,NA,1
"380","back","sideways",NA,NA,8197,1
"381","back","sit",NA,41564,335,1
"382","back","skin",NA,41664,1273,1
"383","back","slap",NA,41767,3225,1
"384","back","sleep",NA,41828,440,1
"385","back","slide",NA,41876,2851,1
"386","back","smooth",NA,42123,2394,1
"387","back","sore",NA,42622,2852,1
"388","back","sorr","sore",42622,2852,1
"389","back","spasm",NA,42798,15605,1
"390","back","spin",NA,42995,2931,1
"391","back","spine",NA,43002,5406,1
"392","back","stab",NA,43373,4446,1
"393","back","stairs",NA,43436,2105,1
"394","back","stiff",NA,43791,3421,1
"395","back","stock",NA,43872,2256,1
"396","back","stomach",NA,43912,1531,1
"397","back","stop",NA,43948,174,1
"398","back","story",NA,43991,487,1
"399","back","straight",NA,44028,568,1
"400","back","stress",NA,44132,2800,1
"401","back","stretch",NA,44139,2902,1
"402","back","stretches",NA,44143,15429,1
"403","back","stroke",NA,44208,3337,1
"404","back","strong",NA,44218,744,1
"405","back","support",NA,44881,1176,1
"406","back","surgery",NA,44937,2269,1
"407","back","sweat",NA,45103,2060,1
"408","back","sweaty",NA,45119,6215,1
"409","back","tail",NA,45419,2153,1
"410","back","talk",NA,45475,157,1
"411","back","tall",NA,45486,1625,1
"412","back","tattoo",NA,45650,4278,1
"413","back","then",NA,46132,75,1
"414","back","there",NA,46158,24,1
"415","back","things",NA,46220,170,1
"416","back","thoracic",NA,46250,18877,1
"417","back","tie",NA,46451,1311,1
"418","back","tight",NA,46464,1075,1
"419","back","time",NA,46498,57,1
"420","back","to",NA,46621,2,1
"421","back","to back","to back",NA,NA,1
"422","back","to black","to black",NA,NA,1
"423","back","to school","to school",NA,NA,1
"424","back","top",NA,46783,565,1
"425","back","torso",NA,46847,11343,1
"426","back","touch",NA,46895,511,1
"427","back","track",NA,46995,1103,1
"428","back","tricep","tricep",NA,NA,1
"429","back","turn",NA,47728,300,1
"430","back","turn around","turn around",NA,NA,1
"431","back","under",NA,48205,337,1
"432","back","uno","uno",NA,NA,1
"433","back","up",NA,49154,38,1
"434","back","upright",NA,49201,7973,1
"435","back","vertebra",NA,49672,25997,1
"436","back","vertebrae",NA,49673,13346,1
"437","back","wait",NA,50137,152,1
"438","back","wide",NA,50865,1856,1
"439","back","woods",NA,51227,2331,1
"440","back","workout",NA,51294,8244,1
"441","back","wrong",NA,51451,185,1
"442","back","yard",NA,51502,2251,1
"443","back","you",NA,51598,4,1
"444","bear","act dead","act dead",NA,NA,1
"445","bear","aggressive",NA,884,4399,1
"446","bear","agressive","aggressive",884,4399,1
"447","bear","alaska",NA,NA,7846,1
"448","bear","angry",NA,1557,1046,1
"449","bear","animal",NA,1565,1380,1
"450","bear","anxious",NA,1795,2715,1
"451","bear","atroscious","atrocious",2548,18927,1
"452","bear","attack",NA,2563,995,1
"453","bear","bad",NA,3036,188,1
"454","bear","baseball",NA,3432,2608,1
"455","bear","basketball",NA,3469,3612,1
"456","bear","bear",NA,3622,1297,1
"457","bear","beautiful",NA,3661,403,1
"458","bear","beer",NA,3741,1078,1
"459","bear","bees",NA,3744,6975,1
"460","bear","berries",NA,3967,9658,1
"461","bear","big",NA,4109,187,1
"462","bear","bite",NA,4324,1298,1
"463","bear","black",NA,4353,640,1
"464","bear","blood",NA,4591,578,1
"465","bear","book",NA,4966,634,1
"466","bear","brave",NA,5332,1652,1
"467","bear","brother",NA,5624,536,1
"468","bear","brother bear","brother bear",NA,NA,1
"469","bear","brown",NA,5635,1457,1
"470","bear","brown bear","brown bear",NA,NA,1
"471","bear","california",NA,NA,1930,1
"472","bear","camping",NA,6391,6466,1
"473","bear","car",NA,6602,381,1
"474","bear","care",NA,6666,218,1
"475","bear","carnivore",NA,6726,24181,1
"476","bear","cat",NA,6891,1371,1
"477","bear","caution",NA,7029,5643,1
"478","bear","cave",NA,7044,4038,1
"479","bear","cheer",NA,7512,2349,1
"480","bear","chicago",NA,NA,2156,1
"481","bear","claw",NA,8130,7807,1
"482","bear","claws",NA,8134,6828,1
"483","bear","cocaine",NA,8466,5823,1
"484","bear","cold",NA,8630,583,1
"485","bear","comfort",NA,8817,2436,1
"486","bear","cozy",NA,10508,5261,1
"487","bear","crawl",NA,10624,3292,1
"488","bear","crossing",NA,10874,3925,1
"489","bear","cub",NA,11032,12108,1
"490","bear","cubs",NA,11051,13253,1
"491","bear","cuddle",NA,11061,10308,1
"492","bear","cuddly",NA,NA,15505,1
"493","bear","cute",NA,11260,804,1
"494","bear","danger",NA,11427,1348,1
"495","bear","dangerous",NA,11428,829,1
"496","bear","dino","dinosaur",12977,8704,1
"497","bear","documentary",NA,13780,7954,1
"498","bear","dog",NA,13806,670,1
"499","bear","down",NA,14037,97,1
"500","bear","drink",NA,14255,470,1
"501","bear","dumpster",NA,14463,7997,1
"502","bear","ears",NA,14631,1474,1
"503","bear","eat",NA,14671,420,1
"504","bear","endangered",NA,NA,9165,1
"505","bear","eyes",NA,16672,426,1
"506","bear","fast",NA,16954,535,1
"507","bear","fat",NA,16971,948,1
"508","bear","fear",NA,17050,1020,1
"509","bear","feast",NA,17061,5473,1
"510","bear","ferocious",NA,17193,12367,1
"511","bear","fish",NA,17550,1138,1
"512","bear","fluffy",NA,17993,9539,1
"513","bear","forest",NA,18307,3143,1
"514","bear","friends",NA,18697,345,1
"515","bear","fur",NA,18930,4821,1
"516","bear","furry",NA,18958,9379,1
"517","bear","fuzzy",NA,18999,6040,1
"518","bear","gatlinburg","gatlinburg",NA,NA,1
"519","bear","giant",NA,19506,2066,1
"520","bear","goldilocks",NA,NA,18432,1
"521","bear","gorge",NA,19970,15891,1
"522","bear","grandpa",NA,20114,2897,1
"523","bear","green",NA,20255,1021,1
"524","bear","grills",NA,20311,36338,1
"525","bear","grizzley","grizzly",20354,13547,1
"526","bear","grizzly",NA,20354,13547,1
"527","bear","grizzly bear","grizzly",20354,13547,1
"528","bear","growl",NA,20446,15706,1
"529","bear","growling",NA,20450,10259,1
"530","bear","grr",NA,NA,22674,1
"531","bear","grrr","gr",NA,27043,1
"532","bear","grrrr","gr",NA,27043,1
"533","bear","grrrrr","gr",NA,27043,1
"534","bear","hair",NA,20778,562,1
"535","bear","hairy",NA,20813,5458,1
"536","bear","hibernate",NA,21643,31883,1
"537","bear","hibernation",NA,21647,24358,1
"538","bear","hide",NA,21663,845,1
"539","bear","highschool",NA,21713,33177,1
"540","bear","hike",NA,21727,5249,1
"541","bear","hikes",NA,21731,25611,1
"542","bear","hiking",NA,21732,9730,1
"543","bear","honey",NA,22013,494,1
"544","bear","horse",NA,22147,1231,1
"545","bear","hug",NA,22326,2429,1
"546","bear","hugs",NA,22336,11894,1
"547","bear","hungry",NA,22435,811,1
"548","bear","hunt",NA,22442,2388,1
"549","bear","hunting",NA,22446,2460,1
"550","bear","kids",NA,25323,457,1
"551","bear","killer",NA,25330,1357,1
"552","bear","koala",NA,25544,27888,1
"553","bear","kodiak bear","kodiak bear",NA,NA,1
"554","bear","large",NA,25793,1309,1
"555","bear","lifeguard",NA,26323,13838,1
"556","bear","like",NA,26382,43,1
"557","bear","lion",NA,26493,4344,1
"558","bear","lions",NA,26500,6982,1
"559","bear","loud",NA,26898,1289,1
"560","bear","louisiana",NA,NA,8801,1
"561","bear","mama",NA,27393,1310,1
"562","bear","mammal",NA,27397,14311,1
"563","bear","mascot",NA,27702,12913,1
"564","bear","maul",NA,27863,26448,1
"565","bear","maybe aggresive","maybe aggresive",NA,NA,1
"566","bear","mean",NA,27925,117,1
"567","bear","meat",NA,27952,1463,1
"568","bear","monkey",NA,29098,2237,1
"569","bear","monster",NA,29156,1919,1
"570","bear","moose",NA,29217,8265,1
"571","bear","mountain",NA,29383,2024,1
"572","bear","mountains",NA,29386,2793,1
"573","bear","nature",NA,29888,1279,1
"574","bear","nice",NA,30218,202,1
"575","bear","nickname",NA,30233,5141,1
"576","bear","nightime","nighttime",30273,10721,1
"577","bear","north",NA,30522,1206,1
"578","bear","oso","oso",NA,NA,1
"579","bear","panda",NA,32160,17391,1
"580","bear","paw",NA,32655,8889,1
"581","bear","pepperspray","pepperspray",NA,NA,1
"582","bear","polar",NA,34178,10339,1
"583","bear","polar bear","polar bear",NA,NA,1
"584","bear","powerful",NA,34649,1532,1
"585","bear","predator",NA,34772,9444,1
"586","bear","print",NA,35139,2630,1
"587","bear","protective",NA,35574,5146,1
"588","bear","rawr","rawr",NA,NA,1
"589","bear","river",NA,38838,1540,1
"590","bear","roar",NA,38884,7618,1
"591","bear","roars",NA,38887,15201,1
"592","bear","rug",NA,39182,4139,1
"593","bear","run",NA,39229,287,1
"594","bear","salmon",NA,39442,6503,1
"595","bear","scared",NA,39788,613,1
"596","bear","scary",NA,39803,1966,1
"597","bear","scratch",NA,40046,2348,1
"598","bear","show",NA,41158,239,1
"599","bear","sleep",NA,41828,440,1
"600","bear","slow",NA,41982,828,1
"601","bear","smokey",NA,NA,14024,1
"602","bear","snare",NA,42195,19171,1
"603","bear","snow",NA,42313,2262,1
"604","bear","soft",NA,42444,1541,1
"605","bear","spray",NA,43197,4220,1
"606","bear","stars",NA,43542,1445,1
"607","bear","still",NA,43815,142,1
"608","bear","stink",NA,43842,3091,1
"609","bear","stuffed",NA,44280,3837,1
"610","bear","stuffy",NA,44286,7760,1
"611","bear","sun",NA,44708,996,1
"612","bear","tall",NA,45486,1625,1
"613","bear","teddy",NA,NA,5149,1
"614","bear","teeth",NA,45795,1198,1
"615","bear","tenessee","tennessee",NA,8493,1
"616","bear","tennessee",NA,NA,8493,1
"617","bear","tiger",NA,46461,3479,1
"618","bear","toy",NA,46977,2886,1
"619","bear","tracks",NA,47000,2801,1
"620","bear","trail",NA,47040,2656,1
"621","bear","trap",NA,47235,2193,1
"622","bear","trash",NA,47250,2197,1
"623","bear","trashcan",NA,47251,28222,1
"624","bear","tree",NA,47323,1202,1
"625","bear","trees",NA,47327,1872,1
"626","bear","unconscious",NA,48134,3241,1
"627","bear","unhealthy",NA,48550,11159,1
"628","bear","vicious",NA,49756,4093,1
"629","bear","violent",NA,49856,2490,1
"630","bear","walk",NA,50162,418,1
"631","bear","warmer",NA,50261,7119,1
"632","bear","wear",NA,50472,653,1
"633","bear","white",NA,50782,604,1
"634","bear","wild",NA,50914,1098,1
"635","bear","wilderness",NA,50924,7560,1
"636","bear","winter",NA,51051,2119,1
"637","bear","witness",NA,51134,1529,1
"638","bear","wolf",NA,51165,3957,1
"639","bear","woodds","tennessee",NA,8493,1
"640","bear","woods",NA,51227,2331,1
"641","bear","yogi",NA,NA,20266,1
"642","bear","zoo",NA,51700,3871,1
"643","bedroom","aesthetic",NA,755,18916,1
"644","bedroom","alone",NA,1206,304,1
"645","bedroom","apartment",NA,1812,1100,1
"646","bedroom","art",NA,2234,1218,1
"647","bedroom","bathroom",NA,3511,1055,1
"648","bedroom","bathtub",NA,3514,5665,1
"649","bedroom","baño","baño",NA,NA,1
"650","bedroom","bed",NA,3682,500,1
"651","bedroom","bedroom",NA,3703,1485,1
"652","bedroom","bedtime",NA,3716,4884,1
"653","bedroom","big",NA,4109,187,1
"654","bedroom","blanket",NA,4421,3234,1
"655","bedroom","blankets",NA,4424,6179,1
"656","bedroom","blinds",NA,4518,10763,1
"657","bedroom","books",NA,4987,1090,1
"658","bedroom","boom",NA,4999,2788,1
"659","bedroom","bored",NA,5073,2231,1
"660","bedroom","boyfriend",NA,5227,1059,1
"661","bedroom","calm",NA,6331,802,1
"662","bedroom","calming",NA,NA,13914,1
"663","bedroom","candles",NA,6443,3712,1
"664","bedroom","carpet",NA,6751,3886,1
"665","bedroom","chair",NA,7241,1253,1
"666","bedroom","chill",NA,7633,2963,1
"667","bedroom","clean",NA,8138,587,1
"668","bedroom","closed",NA,8300,1047,1
"669","bedroom","closet",NA,8305,2020,1
"670","bedroom","clothes",NA,8317,721,1
"671","bedroom","cold",NA,8630,583,1
"672","bedroom","colorful",NA,8747,7446,1
"673","bedroom","colors",NA,8753,3693,1
"674","bedroom","comfort",NA,8817,2436,1
"675","bedroom","comfortable",NA,8818,1109,1
"676","bedroom","comforter",NA,8820,23646,1
"677","bedroom","comfty","comfy",8826,9155,1
"678","bedroom","comfy",NA,8826,9155,1
"679","bedroom","computer",NA,9155,1526,1
"680","bedroom","couch",NA,10265,2216,1
"681","bedroom","cover",NA,10439,724,1
"682","bedroom","covers",NA,10447,3666,1
"683","bedroom","cozy",NA,10508,5261,1
"684","bedroom","curtains",NA,11211,5471,1
