cue,response,revision,subtlex_id,kuperman_id,new_revision,new_subtlex_id,new_kuperman_id
boots,lsu,lsu,1808,25577,lsu,NA,NA
grandpa,lsu,lsu,NA,NA,lsu,NA,NA
grrr,lsu,lsu,NA,NA,lsu,NA,NA
party,lsu,lsu,NA,NA,lsu,NA,NA
shirt,lsu,louge,NA,NA,lsu,NA,NA
basement,lsu,lsu,NA,NA,lsu,NA,NA
white,lsu,lsu,NA,NA,lsu,NA,NA
yellow,lsu,lsu,NA,NA,lsu,NA,NA
auditorium,lsu,lsu,NA,NA,lsu,NA,NA
forum,lsu,,NA,8643,lsu,NA,NA
face,make up,makeup,3060,27327,makeup,3060,27327
pretend,make up,make up,NA,NA,makeup,3060,27327
tuna,mayonaise,mayonnaise,NA,NA,mayonnaise,10561,27901
white,mayonaise,mayonnaise,10561,27901,mayonnaise,10561,27901
food,mcdonald's,mcdonald's,8528,NA,mcdonald,8528,NA
napkin,mcdonald's,mcdonald's,8528,NA,mcdonald,8528,NA
chicken,mcdonald's,mcdonald,8528,NA,mcdonald,8528,NA
food,mcdonalds,mcdonalds,8528,NA,mcdonald,8528,NA
lunch,mcdonalds,mcdonald,8528,NA,mcdonald,8528,NA
yum yum,mcdonalds,mcdonald,NA,NA,mcdonald,8528,NA
spaghetti,meme,itallian,NA,NA,meme,NA,NA
turn around,meme,meme,NA,NA,meme,NA,NA
lunch,mid day,mid day,NA,NA,midday,17622,28405
nap,mid day,midday,17622,28405,midday,17622,28405
help,moive,moive,NA,NA,move,292,29422
turn around,moive,move,292,29422,move,292,29422
call,my mom,my mom,NA,NA,mom,503,29044
pool,my mom,mom,503,29044,mom,503,29044
short,my mom,mom,503,29044,mom,503,29044
beside,next to,next to,NA,NA,next,212,30207
above,next to,next to,NA,NA,next,212,30207
behind,next to,next,212,30207,next,212,30207
bedroom,night time,nighttime,10721,30273,nighttime,10721,30273
pajamas,night time,nighttime,NA,NA,nighttime,10721,30273
party,night time,nighttime,10721,30273,nighttime,10721,30273
bear,nightime,nighttime,10721,30273,nighttime,10721,30273
bedroom,nightime,nighttime,10721,30273,nighttime,10721,30273
pajamas,nightime,nighttime,NA,NA,nighttime,10721,30273
don't,not good,not good,NA,NA,no,20,30327
uhoh,not good,no,20,30327,no,20,30327
abhor,notsure,notsure,NA,NA,NA,NA,NA
arachnid,notsure,,NA,8643,NA,NA,NA
breadth,notsure,,NA,8643,NA,NA,NA
brimstone,notsure,,NA,8643,NA,NA,NA
illuminate,notsure,,NA,8643,NA,NA,NA
perspire,notsure,,NA,8643,NA,NA,NA
repression,notsure,,NA,8643,NA,NA,NA
stethoscope,notsure,,NA,8643,NA,NA,NA
beside,on top,on top,NA,NA,top,565,46783
behind,on top,top,565,46783,top,565,46783
penny,one cent,one cent,NA,NA,cent,4086,7135
penny,one cent,cent,4086,7135,cent,4086,7135
break,oop,oop,16394,30754,oops,3525,NA
daddy,oop,oop,NA,NA,oops,3525,NA
ouch,oopsie,oopsie,3525,NA,oops,3525,NA
uhoh,oopsie,oops,3525,NA,oops,3525,NA
drink,orange juice,orange juice,NA,NA,juice,2138,25093
cup,orange juice,juice,2138,25093,juice,2138,25093
muffin,orange juice,juice,2138,25093,juice,2138,25093
beside,over there,over there,NA,NA,there,24,46158
behind,over there,there,24,46158,there,24,46158
tongue,panera,panera,NA,NA,panera,NA,NA
bread,panera,multigrain,NA,NA,panera,NA,NA
clean,paper towel,paper towel,NA,NA,towel,3036,46942
napkin,paper towel,paper towel,NA,NA,towel,3036,46942
towel,paper towel,paper,761,32232,paper,761,32232
break,peices,peices,NA,NA,piece,1483,33526
puzzle,peices,piece,582,33524,piece,1483,33526
bits,peices,pieces,1483,33526,piece,1483,33526
pajamas,pjs,pj,NA,NA,pajamas,6046,32074
nap,pjs,pajamas,6046,32074,pajamas,6046,32074
underpants,pjs,pajamas,6046,32074,pajamas,6046,32074
day,playdate,playdate,NA,NA,playdate,16157,33953
grrr,playdate,play-date,NA,NA,playdate,16157,33953
pretend,playdate,play,361,33916,playdate,16157,33953
plaything,playdate,playdate,NA,NA,playdate,16157,33953
face,point of view,viewpoint,16972,49792,viewpoint,16972,49792
stand,point of view,point of view,NA,NA,viewpoint,16972,49792
have,recieve,receive,NA,NA,receive,2296,36932
bring,recieve,receive,2296,36932,receive,2296,36932
give,recieve,receive,2296,36932,receive,2296,36932
collected,recieve,receive,2296,36932,receive,2296,36932
cook,restaraunt,restaurant,NA,NA,restaurant,1502,38271
yum yum,restaraunt,restaurant,NA,NA,restaurant,1502,38271
bread,restaraunt,restaurant,1502,38271,restaurant,1502,38271
highchair,restaraunt,restaurant,1502,38271,restaurant,1502,38271
napkin,restraunt,restaurant,NA,NA,restaurant,1502,38271
chicken,restraunt,restaurant,1502,38271,restaurant,1502,38271
highchair,restraunt,restaurant,1502,38271,restaurant,1502,38271
food,resturant,restaurant,NA,NA,restaurant,1502,38271
napkin,resturant,restaurant,NA,NA,restaurant,1502,38271
yum yum,resturant,restaurant,NA,NA,restaurant,1502,38271
highchair,resturant,restaurant,1502,38271,restaurant,1502,38271
inspection,resturant,restaurant,1502,38271,restaurant,1502,38271
yum yum,resturants,restaurants,NA,NA,restaurant,1502,38271
highchair,resturants,restaurants,4995,38272,restaurant,1502,38271
drink,right now,right now,NA,NA,now,30,30629
turn around,right now,right now,NA,NA,now,30,30629
now,right now,right,53,38722,right,53,38722
drink,rootbeer,rootbeer,NA,NA,rootbeer,NA,NA
vanilla,rootbeer,root beer,NA,NA,rootbeer,NA,NA
food,sandwhich,sandwich,NA,NA,sandwich,2320,39545
lunch,sandwhich,sandwich,NA,NA,sandwich,2320,39545
tuna,sandwhich,sandwich,2320,39545,sandwich,2320,39545
bread,sandwhich,sandwich,2320,39545,sandwich,2320,39545
cheese,sandwhich,sandwich,2320,39545,sandwich,2320,39545
chicken,sandwhich,sandwich,2320,39545,sandwich,2320,39545
food,sandwitch,sandwich,NA,NA,sandwich,2320,39545
bread,sandwitch,sandwich,2320,39545,sandwich,2320,39545
grrr,scarry,scary,NA,NA,scary,1966,39803
moose,scarry,scary,1966,39803,scary,1966,39803
tractor,scary movies,scary movies,NA,NA,scary,1966,39803
basement,scary movies,movies,1475,29435,scary,1966,39803
bump,school bus,school bus,NA,NA,bus,1261,6014
yellow,school bus,bus,1261,6014,bus,1261,6014
clap,shhh,rhythm,NA,NA,shh,1501,NA
grrr,shhh,shhh,NA,NA,shh,1501,NA
boots,shrek,shrek,25882,41195,shrek,NA,NA
puzzle,shrek,shrek,NA,NA,shrek,NA,NA
drink,sippy cup,sippy cup,NA,NA,sippy,41592,41538
cup,sippy cup,sippy,41592,NA,sippy,41592,41538
tongue,slimey,slimy,NA,NA,slimy,8238,41895
bug,slimey,slimy,8238,41895,slimy,8238,41895
fish,slimey,slimy,8238,41895,slimy,8238,41895
tummy,stomache,stomach,1531,43912,stomach,1531,43912
yum yum,stomache,stomachache,NA,NA,stomach,1531,43912
we,the people,the people,NA,NA,people,131,32937
we,the people,people,131,32937,people,131,32937
napkin,throw away,throwaway,NA,NA,throwaway,35441,46345
trash,throw away,throwaway,35441,46345,throwaway,35441,46345
bedroom,time out,timeout,24641,46507,timeout,24641,46507
break,time out,time out,NA,NA,timeout,24641,46507
stand,time out,timeout,24641,46507,timeout,24641,46507
pajamas,tshirt,tshirt,NA,NA,shirt,1359,41013
shirt,tshirt,tshirt,NA,NA,shirt,1359,41013
white,tshirt,shirt,1359,41013,shirt,1359,41013
tummy,tum tum,tum tum,NA,NA,tum tum,NA,NA
yum yum,tum tum,stomachache,15610,43913,tum tum,NA,NA
back,turn around,turn around,NA,NA,turn,300,47728
turn around,turn around,turn around,NA,NA,turn,300,47728
behind,turn around,turn,300,47728,turn,300,47728
give me five!,up high,up high,NA,NA,high,462,21684
above,up high,high,462,21684,high,462,21684
give me five!,up top,up top,NA,NA,top,565,46783
above,up top,top,565,46783,top,565,46783
basement,valorant,valorant,NA,NA,valiant,12203,49399
brimstone,valorant,valiant,12203,49399,valiant,12203,49399
awake,wake up,wake up,NA,NA,up,38,49154
rooster,wake up,wake,694,50152,up,38,49154
wake,wake up,up,38,49154,up,38,49154
cup,water bottle,bottle,1244,5122,bottle,1244,5122
dance,water bottle,bottle,NA,5122,bottle,1244,5122
cat,wiskers,whiskers,NA,NA,whiskers,10749,50763
kitty,wiskers,whiskers,10749,50763,whiskers,10749,50763
have,won't,won't,NA,NA,wont,16243,51202
would,won't,won't,16243,51202,wont,16243,51202
don't,won't,wont,16243,51202,wont,16243,51202
pencil,writting,writing,1192,51447,write,691,51439
forum,writting,write,691,51439,write,691,51439
we,yall,ya’ll,NA,NA,yall,4,51598
we,yall,yall,NA,NA,yall,4,51598
